"","simulation_id","num_rock_through_net","prob_rock_through_net_mc","car_hit_stat","prob_car_hit_stat_mc","car_hit_even","prob_car_hit_even_mc","car_hit_max","prob_car_hit_max_mc","num_of_years"
"80",80,1648,0.01648,12,0.00012,15,0.00015,30,3e-04,1e+05
"81",81,1630,0.0163,14,0.00014,13,0.00013,28,0.00028,1e+05
"82",82,1659,0.01659,12,0.00012,16,0.00016,32,0.00032,1e+05
"83",83,1592,0.01592,10,1e-04,11,0.00011,23,0.00023,1e+05
"84",84,1644,0.01644,15,0.00015,17,0.00017,31,0.00031,1e+05
"85",85,1636,0.01636,16,0.00016,18,0.00018,31,0.00031,1e+05
"86",86,1691,0.01691,13,0.00013,13,0.00013,30,3e-04,1e+05
"87",87,1686,0.01686,13,0.00013,16,0.00016,29,0.00029,1e+05
"88",88,1657,0.01657,13,0.00013,17,0.00017,28,0.00028,1e+05
"89",89,1605,0.01605,11,0.00011,17,0.00017,32,0.00032,1e+05
"90",90,1639,0.01639,12,0.00012,18,0.00018,29,0.00029,1e+05
"91",91,1559,0.01559,10,1e-04,13,0.00013,29,0.00029,1e+05
"92",92,1619,0.01619,9,9e-05,9,9e-05,19,0.00019,1e+05
"93",93,1554,0.01554,13,0.00013,14,0.00014,27,0.00027,1e+05
"94",94,1629,0.01629,13,0.00013,14,0.00014,34,0.00034,1e+05
"95",95,1665,0.01665,12,0.00012,16,0.00016,25,0.00025,1e+05
"96",96,1656,0.01656,8,8e-05,11,0.00011,24,0.00024,1e+05
"97",97,1595,0.01595,14,0.00014,14,0.00014,32,0.00032,1e+05
"98",98,1634,0.01634,8,8e-05,10,1e-04,17,0.00017,1e+05
"99",99,1646,0.01646,8,8e-05,13,0.00013,30,3e-04,1e+05
"100",100,1571,0.01571,10,1e-04,14,0.00014,34,0.00034,1e+05
